timestamp,high
1407196800,0
1409529600,0
1412121600,0
1414800000,0
1417392000,0
1420070400,0
1422748800,0.1115
1425168000,0.2752
1427846400,0.1515
1430438400,0.1661
1433116800,0.2198
1435708800,0.1889
1438387200,0.1437
1441065600,0.1107
1443657600,0.09363
1446336000,0.083
1448928000,0.07034
1451606400,0.0867
1454284800,0.06747
1456790400,0.07424
1459468800,0.06929
1462060800,0.06404
1464739200,0.07072
1467331200,0.05856
1470009600,0.05254
1472688000,0.04265
1475280000,0.03783
1477958400,0.03301
1480550400,0.02881
1483228800,0.02944
1485907200,0.03223
1488326400,0.07938
1491004800,0.2054
1493596800,1294
1496275200,1197
1498867200,0.8731
1501545600,0.6497
1504224000,0.6802
1506816000,6.472
1509494400,8.07
1512086400,25.07
1514764800,11.57
1517443200,7.311
1519862400,6.116
1522540800,5.888
1525132800,5.718
1527811200,3.438
1530403200,2.573
1533081600,2.279
1535760000,2.034
1538352000,1.48
1541030400,1.259
1543622400,0.8587
1546300800,0.6876
1548979200,0.5804
1551398400,0.5481
1554076800,1.297
1556668800,3.325
1559347200,6.411
1561939200,2.81
1564617600,2.103
1567296000,1.718
1569888000,1.967
1572566400,1.25
1575158400,0.9425
1577836800,1.495
