timestamp,high,low,open,close
1406246400,6.245,5.971,6.097,5.971
1406332800,6.109,5.794,5.971,6.085
1406419200,6.075,5.713,6.085,5.886
1406505600,5.816,5.233,5.886,5.351
1406592000,5.331,4.669,5.351,4.71
1406678400,4.83,4.202,4.71,4.395
1406764800,5.766,4.555,4.395,5.512
1406851200,5.848,5.306,5.512,5.648
1406937600,6.041,5.544,5.648,5.625
1407024000,5.995,5.593,5.625,5.788
1407110400,5.851,5.342,5.788,5.394
1407196800,5.556,5.134,5.394,5.467
1407283200,5.898,5.449,5.467,5.846
1407369600,5.876,5.46,5.846,5.643
1407456000,6.084,5.672,5.643,5.95
1407542400,6.013,5.512,5.95,5.6
1407628800,5.855,5.406,5.6,5.612
1407715200,5.641,5.04,5.612,5.116
1407801600,5.075,4.822,5.116,5.052
1407888000,5.049,4.365,5.052,4.946
1407974400,4.606,3.937,4.946,4.038
1408060800,4.221,3.43,4.038,3.679
1408147200,3.868,3.144,3.679,3.144
1408233600,2.936,2.428,3.144,2.428
1408320000,2.315,1.372,2.428,1.521
1408406400,3.299,1.565,1.521,3.207
1408492800,4.133,3.282,3.207,3.836
1408579200,3.887,3.196,3.836,3.39
1408665600,3.502,2.89,3.39,3.205
1408752000,3.252,2.98,3.205,3.07
1408838400,3.165,2.99,3.07,3.114
1408924800,3.078,2.669,3.114,2.669
1409011200,3.998,2.619,2.669,2.738
1409097600,2.776,2.19,2.738,2.302
1409184000,2.605,2.043,2.302,2.365
1409270400,2.609,2.374,2.365,2.56
1409356800,2.613,2.332,2.56,2.398
1409443200,2.489,2.217,2.398,2.423
1409529600,2.4,2.244,2.423,2.295
1409616000,2.399,2.256,2.295,2.325
1409702400,2.837,2.304,2.325,2.712
1409788800,3.452,2.642,2.712,3.129
1409875200,3.103,2.643,3.129,2.844
1409961600,3.251,2.757,2.844,3.006
1410048000,3.127,2.886,3.006,2.925
1410134400,2.897,2.749,2.925,2.784
1410220800,2.933,2.762,2.784,2.906
1410307200,2.936,2.768,2.906,2.782
1410393600,2.847,2.771,2.782,2.771
1410480000,2.818,2.717,2.771,2.803
1410566400,2.898,2.773,2.803,2.877
1410652800,2.909,2.765,2.877,2.8
1410739200,3.392,2.771,2.8,3.084
1410825600,3.314,2.994,3.084,3.281
1410912000,3.816,3.218,3.281,3.703
1410998400,3.894,3.343,3.703,3.852
1411084800,3.694,3.46,3.852,3.531
1411171200,3.654,3.086,3.531,3.129
1411257600,3.221,2.996,3.129,3.004
1411344000,3.415,2.976,3.004,3.293
1411430400,3.691,3.338,3.293,3.46
1411516800,3.441,3.26,3.46,3.26
1411603200,3.241,2.948,3.26,3.043
1411689600,2.989,2.831,3.043,2.872
1411776000,2.935,2.793,2.872,2.918
1411862400,3.069,2.677,2.918,2.947
1411948800,3.019,2.812,2.947,2.812
1412035200,3.027,2.678,2.812,2.759
1412121600,2.81,2.42,2.759,2.475
1412208000,2.72,2.392,2.475,2.408
1412294400,2.429,2.294,2.408,2.342
1412380800,2.318,2.16,2.342,2.264
1412467200,2.329,2.176,2.264,2.325
1412553600,2.387,2.221,2.325,2.221
1412640000,2.322,2.022,2.221,2.089
1412726400,2.351,2.208,2.089,2.327
1412812800,2.451,2.202,2.327,2.451
1412899200,2.499,2.228,2.451,2.264
1412985600,2.261,2.066,2.264,2.102
1413072000,2.302,2.098,2.102,2.126
1413158400,2.375,2.206,2.126,2.331
1413244800,2.435,1.974,2.331,2.092
1413331200,2.206,1.966,2.092,2.053
1413417600,2.278,1.956,2.053,2.208
1413504000,2.328,2.07,2.208,2.187
1413590400,2.345,2.214,2.187,2.214
1413676800,2.285,2.193,2.214,2.233
1413763200,2.27,2.092,2.233,2.092
1413849600,2.165,2,2.092,2.072
1413936000,2.148,2.008,2.072,2.045
1414022400,2.071,1.891,2.045,2.071
1414108800,2.09,1.887,2.071,2.06
1414195200,2.012,1.848,2.06,1.942
1414281600,1.978,1.855,1.942,1.855
1414368000,1.986,1.862,1.855,1.958
1414454400,1.964,1.851,1.958,1.851
1414540800,1.826,1.642,1.851,1.642
1414627200,1.807,1.617,1.642,1.785
1414713600,1.868,1.695,1.785,1.824
1414800000,1.786,1.608,1.824,1.676
1414886400,1.773,1.596,1.676,1.651
1414972800,1.686,1.608,1.651,1.608
1415059200,1.702,1.536,1.608,1.692
1415145600,1.893,1.693,1.692,1.694
1415232000,1.947,1.743,1.694,1.947
1415318400,2.496,1.862,1.947,2.154
1415404800,2.747,2.118,2.154,2.747
1415491200,3.069,2.747,2.747,2.933
1415577600,3.106,2.61,2.933,2.61
1415664000,2.964,2.377,2.61,2.379
1415750400,3.008,2.627,2.379,2.745
1415836800,2.724,2.469,2.745,2.628
1415923200,2.458,2.357,2.628,2.443
1416009600,2.475,2.249,2.443,2.469
1416096000,2.807,2.54,2.469,2.784
1416182400,2.778,2.402,2.784,2.427
1416268800,2.436,2.161,2.427,2.417
1416355200,2.433,2.305,2.417,2.359
1416441600,2.32,2.188,2.359,2.287
1416528000,2.282,2.168,2.287,2.253
1416614400,2.255,2.17,2.253,2.185
1416700800,2.384,2.211,2.185,2.262
1416787200,2.384,2.313,2.262,2.33
1416873600,2.345,2.296,2.33,2.319
1416960000,2.393,2.251,2.319,2.339
1417046400,2.375,2.277,2.339,2.309
1417132800,2.417,2.303,2.309,2.404
