timestamp,high
1406246400,0
1406851200,0
1409529600,0
1412121600,0
1414800000,0
1417392000,0
1420070400,0
1422748800,0
1425168000,0
1427846400,0
1430438400,0
1433116800,0
1435708800,0
1438387200,0
1441065600,0
1443657600,0
1446336000,0
1448928000,0
1451606400,0
1454284800,0
1456790400,0
1459468800,0
1462060800,0
1464739200,0
1467331200,0
1470009600,0
1472688000,0
1475280000,0
1477958400,0
1480550400,39.49
1483228800,1.875
1485907200,1.739
1488326400,32.28
1491004800,35.25
1493596800,3.413
1496275200,8.742
1498867200,14.2
1501545600,28.66
1504224000,14.03
1506816000,13.43
1509494400,7.802
1512086400,21.96
1514764800,22.02
1517443200,10.51
1519862400,10.73
1522540800,21.71
1525132800,12.57
1527811200,7.676
1530403200,10.32
1533081600,7.389
1535760000,5.53
1538352000,5.978
1541030400,4.614
1543622400,2.815
1546300800,2.878
1548979200,3.754
1551398400,4.05
1554076800,5.288
1556668800,7.844
1559347200,8.355
1561939200,6.829
1564617600,4.583
1567296000,3.485
1569888000,4.454
1572566400,4.704
1575158400,4.43
1577836800,4.995
