timestamp,high
1407196800,0
1409529600,0
1412121600,0
1414800000,0
1417392000,0
1420070400,0
1422748800,0.001067
1425168000,0.0002572
1427846400,0.0001543
1430438400,0.0001292
1433116800,0.0001129
1435708800,0.0001056
1438387200,9.292e-05
1441065600,0.0001264
1443657600,0.002252
1446336000,0.0006
1448928000,0.0002171
1451606400,0.0002543
1454284800,0.0004032
1456790400,0.0007855
1459468800,0.0005819
1462060800,0.000406
1464739200,0.000471
1467331200,0.000439
1470009600,0.0004874
1472688000,0.0004135
1475280000,0.0004353
1477958400,0.0003488
1480550400,0.0002913
1483228800,0.0003784
1485907200,0.0003149
1488326400,0.005122
1491004800,0.0014
1493596800,88.5
1496275200,267
1498867200,0.0231
1501545600,0.0225
1504224000,0.03335
1506816000,0.1
1509494400,0.016
1512086400,0.0999
1514764800,0.15
1517443200,0.0545
1519862400,0.0395
1522540800,0.048
1525132800,0.053
1527811200,0.03787
1530403200,0.07
1533081600,0.03811
1535760000,0.03333
1538352000,0.02999
1541030400,0.02489
1543622400,0.02278
1546300800,0.01247
1548979200,0.01301
1551398400,0.01749
1554076800,0.01679
1556668800,0.01859
1559347200,0.02191
1561939200,0.01443
1564617600,0.01189
1567296000,0.009038
1569888000,0.009016
1572566400,0.008163
1575158400,0.007424
1577836800,0.007614
